name,address,pincode,phone,latitude,longitude,type,city
Bhosari Industrial Blood Bank,"Bhosari, PCMC",411039,+91-20-27131001,18.625,73.8455,Private,PCMC
Bibwewadi Blood Storage Centre,"Bibwewadi, Pune",411037,+91-20-24220001,18.4785,73.8735,Private,Pune
Camp Civil Blood Bank,"Camp Area, Pune",411001,+91-20-26130010,18.5205,73.8795,Government,Pune
Shree Blood Bank (Camp area),"Camp, Pune",411001,+91-20-26120000,18.52,73.88,Private,Pune
Chakan Blood Bank (PCMC Rural),"Chakan, PCMC",410501,+91-20-27194000,18.76,73.86,Private,PCMC
Charholi Blood Bank,"Charholi Budruk, PCMC",412105,+91-20-27193000,18.69,73.9,Private,PCMC
Chikhali Blood Donation Centre,"Chikhali, PCMC",411062,+91-20-27601001,18.691,73.831,Private,PCMC
Talera Hospital Blood Bank,"Chinchwad, PCMC",411033,+91-20-27350000,18.626,73.803,Private,PCMC
Kamalnayan Bajaj Hospital Blood Bank,"Chinchwad, PCMC",411033,+91-20-27390000,18.625,73.805,Private,PCMC
Jijamata Hospital Blood Bank,"Chinchwad, PCMC",411033,+91-20-27355000,18.6265,73.8025,Government,PCMC
Chinchwad Civil Blood Bank,"Chinchwad, PCMC",411033,+91-20-27342001,18.6255,73.8055,Government,PCMC
Dehu Road Blood Bank,"Dehu Road, PCMC",412101,+91-20-27654001,18.6805,73.7555,NGO,PCMC
Dhayari Blood Bank,"Dhayari, Pune",411041,+91-20-24374001,18.455,73.8145,Private,Pune
Siddhi Hospital Blood Bank,"Dighi, PCMC",411015,+91-20-27190000,18.6,73.87,Private,PCMC
Dighi Blood Donation Centre,"Dighi, PCMC",411015,+91-20-27192001,18.602,73.872,NGO,PCMC
Ace Hospital Blood Bank,"Erandwane, Pune",411004,+91-20-25454000,18.5028,73.834,Hospital,Pune
Hadapsar Community Blood Bank,"Hadapsar, Pune",411028,+91-20-26996001,18.496,73.928,NGO,Pune
Hinjewadi Blood Bank PCMC,"Hinjewadi Phase 1, PCMC",411057,+91-20-67990001,18.597,73.7765,Private,PCMC
Kalewadi Blood Centre,"Kalewadi, PCMC",411017,+91-20-27202002,18.6,73.79,NGO,PCMC
Sahyadri Hospital Blood Bank (Deccan Gymkhana),"Karve Rd / Deccan Gymkhana, Pune",411004,+91-20-67213500,18.5543,73.89714,Hospital,Pune
Joshi Hospital Blood Bank,"Karve Rd, Pune",411004,+91-20-25460660,18.508,73.8325,Hospital,Pune
Sai Sneh Hospital Blood Bank,"Kasarwadi, PCMC",411034,+91-20-27100000,18.595,73.821,Private,PCMC
Kasarwadi Blood Centre,"Kasarwadi, PCMC",411034,+91-20-27100001,18.595,73.821,Private,PCMC
Katraj Blood Storage Centre,"Katraj, Pune",411046,+91-20-24369001,18.457,73.862,Private,Pune
Kharadi Blood Donation Centre,"Kharadi, Pune",411014,+91-20-27012001,18.5415,73.9365,NGO,Pune
Kiwale Blood Donation Centre,"Kiwale, PCMC",412101,+91-20-27655000,18.67,73.76,NGO,PCMC
Kondhwa Community Blood Bank,"Kondhwa, Pune",411048,+91-20-26834001,18.4705,73.9005,NGO,Pune
Noble Blood Storage Centre (Kothrud),"Kothrud, Pune",411038,+91-20-25280000,18.5075,73.812,Private,Pune
Inlaks & Budhrani Blood Bank (Koregaon Park),"Lane 1, North Main Road, Koregaon Park, Pune",411001,+91-20-25438300,18.5365,73.8935,Hospital,Pune
Noble Hospital Blood Bank (Hadapsar),"Magarpatta City Rd, Hadapsar, Pune",411013,+91-20-66285000,18.5049,73.9271,Hospital,Pune
Market Yard Blood Bank,"Market Yard, Pune",411037,+91-20-24261235,18.4855,73.87,Private,Pune
Bhosari MIDC Blood Bank,"MIDC Bhosari, PCMC",411026,+91-20-27131002,18.62,73.85,Private,PCMC
Mosshi Blood Storage Centre,"Moshi, PCMC",412105,+91-20-27603001,18.68,73.83,Private,PCMC
Navjeevan Blood Bank (PMC),"Navjeevan, Ganesh Peth, Pune",411002,+91-20-24480341,18.5189,73.8568,Government,Pune
Fergusson College Blood Donation Centre,"Near Fergusson College, Pune",411004,+91-20-25650000,18.516,73.856,College,Pune
Deenanath Mangeshkar Hospital Blood Bank,"Near Mhatre Bridge, Erandwane, Pune",411004,+91-20-40151000,18.50201,73.83284,Hospital,Pune
Red Cross Blood Bank Pune,"Near Tarachand Hospital, Rasta Peth, Pune",411011,+91-20-26130000,18.517,73.868,NGO,Pune
Lokmanya Hospital Blood Bank (Nigdi),"Nigdi, PCMC",411044,+91-20-30612000,18.651,73.77,Private,PCMC
Sterling Multispeciality Hospital Blood Bank,"Nigdi, PCMC",411044,+91-20-30600000,18.652,73.768,Private,PCMC
Bhakti Hospital Blood Bank (Nigdi),"Nigdi, PCMC",411044,+91-20-27610000,18.6515,73.7695,Private,PCMC
Navjeevan Blood Bank PCMC (Nigdi),"Nigdi, PCMC",411044,+91-20-27613000,18.653,73.7698,Private,PCMC
Nigdi Community Blood Bank,"Nigdi, PCMC",411044,+91-20-27612001,18.6525,73.769,NGO,PCMC
Sangvi Blood Bank,"Old Sangvi, PCMC",411027,+91-20-27205001,18.58,73.82,Private,PCMC
Pashan Blood Donation Centre,"Pashan, Pune",411021,+91-20-25890000,18.543,73.803,NGO,Pune
Ojas Multispeciality Hospital Blood Bank,"Pimple Saudagar, PCMC",411027,+91-20-27205000,18.592,73.789,Private,PCMC
City Care Blood Bank (Pimple Saudagar),"Pimple Saudagar, PCMC",411027,+91-20-27205555,18.593,73.7885,Private,PCMC
Pimple Saudagar Blood Bank,"Pimple Saudagar, PCMC",411027,+91-20-27205556,18.593,73.7885,Private,PCMC
Pimpri Chinchwad Blood Bank (PMC),"Pimpri, PCMC",411018,+91-20-27420000,18.629,73.799,Government,PCMC
Vijaya Hospital Blood Bank,"Pimpri, PCMC",411017,+91-20-27430000,18.6205,73.802,Private,PCMC
Pimpri Red Cross Blood Centre,"Pimpri, PCMC",411018,+91-20-27421001,18.63,73.7985,NGO,PCMC
Pimpri Community Blood Centre,"Pimpri, PCMC",411018,+91-20-27421002,18.631,73.7995,NGO,PCMC
Acharaya Anand Rishiji Blood Bank (Poona Hospital),"Poona Hospital, Sadashiv Peth",411030,+91-20-66096000,18.5106,73.842,Hospital,Pune
Punawale Blood Bank,"Punawale, PCMC",411033,+91-20-27344000,18.62,73.78,Private,PCMC
Rahatani Blood Donation Centre,"Rahatani, PCMC",411017,+91-20-27202001,18.59,73.78,Private,PCMC
Sasoon Hospital Blood Bank,"Railway Station Rd, Pune",411001,+91-20-26102200,18.52187,73.87312,Government,Pune
Sassoon General Hospital Blood Centre (Duplicate),"Railway Station Rd, Pune",411001,+91-20-26102200,18.52187,73.87312,Government,Pune
Poona Red Cross Society Blood Bank,"Rasta Peth area, Pune",411011,+91-20-26130000,18.517,73.868,NGO,Pune
Life Care Hospital Blood Bank (Ravet),"Ravet, PCMC",412101,+91-20-27650000,18.654,73.755,Private,PCMC
Sai Multispeciality Blood Bank (Ravet),"Ravet, PCMC",412101,+91-20-27651000,18.655,73.756,Private,PCMC
Ravet Community Blood Bank,"Ravet, PCMC",412101,+91-20-27100001,18.656,73.757,NGO,PCMC
Janaseva Blood Centre,"Sadashiv Peth / Camp areas, Pune",411030,+91-20-24450000,18.51,73.843,NGO,Pune
Poona Hospital & Research Centre Blood Bank,"Sadashiv Peth, Pune",411030,+91-20-66096000,18.5106,73.842,Hospital,Pune
Dr D Y Patil Hospital Blood Bank,"Sant Tukaram Nagar, Pimpri",411018,+91-20-27805000,18.6295,73.7975,Hospital,PCMC
YCM Hospital Blood Bank,"Sant Tukaram Nagar, Pimpri, PCMC",411018,+91-20-67332389,18.629,73.799,Government,PCMC
Cloudnine Hospital Blood Bank (SB Road),"Senapati Bapat Rd, Pune",411016,+91-20-44677000,18.5314,73.8315,Hospital,Pune
Ratna Memorial Hospital Blood Bank,"Senapati Bapat Rd, Pune",411016,+91-20-25651037,18.5302,73.829,Hospital,Pune
Sinhagad Road Blood Bank,"Sinhagad Rd, Pune",411051,+91-20-24353001,18.4625,73.8205,Private,Pune
Tathawade Blood Bank,"Tathawade, PCMC",411033,+91-20-27343001,18.612,73.807,Private,PCMC
Aditya Hospital Blood Bank (Thergaon),"Thergaon, PCMC",411033,+91-20-27340000,18.609,73.8015,Private,PCMC
Thergaon Blood Centre,"Thergaon, PCMC",411033,+91-20-27652001,18.61,73.802,Private,PCMC
Aditya Birla Memorial Hospital Blood Bank (Chinchwad),"Thergaon, Pimpri-Chinchwad",411033,+91-20-30717600,18.6081,73.8008,Hospital,PCMC
Tilak Road Blood Bank,"Tilak Rd, Pune",411030,+91-20-24450001,18.509,73.8435,Private,Pune
Lifepoint Hospital Blood Bank,"Wakad Rd, Pune",411057,+91-20-67206600,18.597,73.778,Hospital,Pune
Orion Hospital Blood Bank (Wakad),"Wakad, PCMC",411057,+91-20-67110000,18.5955,73.775,Private,PCMC
Medicover Hospital Blood Bank Wakad,"Wakad, PCMC",411057,+91-20-68306666,18.596,73.7785,Private,PCMC
Phoenix Blood Centre (Wakad),"Wakad, PCMC",411057,+91-20-67990000,18.5965,73.7765,Private,PCMC
Wanowrie Blood Donation Centre,"Wanowrie, Pune",411040,+91-20-26850000,18.491,73.901,NGO,Pune
Niramaya Blood Services,"Warje, Pune",411058,+91-20-25211111,18.485,73.807,Private,Pune
Warje Malwadi Blood Bank,"Warje, Pune",411058,+91-20-25211112,18.4855,73.8075,Private,Pune
Yerawada Blood Centre,"Yerawada, Pune",411006,+91-20-26680001,18.5515,73.878,Private,Pune
Harneshwar Multispeciality Hospital,"Talegaon-Chakan Road, Talegaon Dabhade, Pune",410506,8460400225,18.733,73.6757,Private,Talegaon Dabhade
Atharva Accident Hospital,"Nutan Maharashtra Engineering College Road, Talegaon Dabhade, Pune",410507,8308018000,18.7465,73.6778,Private,Talegaon Dabhade
Sevadham Multispeciality Hospital,"Samsan Nagar, Near Railway Station, Talegaon Dabhade, Pune",410507,2114222456,18.7439,73.6732,Private,Talegaon Dabhade
Dhakne Hospital,"Station Road, Shanti City Center, Talegaon Dabhade, Pune",410507,8377805564,18.7471,73.6701,Private,Talegaon Dabhade
Dr. Bhausaheb Sardesai Talegaon Rural Hospital,"Talegaon Rural Hospital, Maval, Pune",410507,8377805564,18.744,73.679,Government,Talegaon Dabhade
Pawana Hospital,"Gat No.167, Parandwadi Road, Somatne Phata, Pune",410506,7722049970,18.7353,73.6764,Private,Somatne Phata
Sparsh Multispeciality Hospital,"Parandwadi Road, Somatne Phata, Pune",410506,8460400225,18.7328,73.6802,Private,Somatne Phata
Pioneer Hospital,"S.No.349, Tukaram Nagar, Somatne Phata, Pune",410506,9822636161,18.7315,73.6789,Private,Somatne Phata
Bade Accident & Multispeciality Hospital,"Old Pune-Mumbai Highway, Somatne Phata, Pune",410506,91-20-26680001,18.7321,73.6795,Private,Somatne Phata
Sai Jeevan Children's Hospital,"Parandwadi Road, Somatne Phata, Pune",410506,8460400225,18.7334,73.6798,Private,Somatne Phata
