name,address,pincode,phone,latitude,longitude,type,city
Vijaya Hospital,"Pimpri, PCMC",411017,+91-20-67296689,18.6205,73.802,Private,PCMC
Sai Multispeciality Hospital,"Ravet, PCMC",412101,+91-20-61656693,18.655,73.756,Private,PCMC
Sai Krupa Hospital,"Ravet, PCMC",412101,+91-20-67296694,18.656,73.757,Private,PCMC
Life Care Hospital,"Ravet, PCMC",412101,+91-20-67296693,18.654,73.755,Private,PCMC
YCM Hospital,"Sant Tukaram Nagar, Pimpri",411018,+91-20-67296684,18.629,73.799,Government,PCMC
Dr. D.Y. Patil Hospital,"Sant Tukaram Nagar, Pimpri",411018,+91-20-67296691,18.6295,73.7975,Private (Trust),PCMC
Lokmanya Hospital Senapati Bapat Road,"SB Road, Pune",411016,+91-20-61656681,18.531,73.83,Private,Pune
Cloudnine Hospital SB Road,"SB Road, Shivaji Nagar, Pune",411016,+91-20-67296668,18.5314,73.8315,Private,Pune
Ratna Memorial Hospital,"Senapati Bapat Road, Pune",411016,+91-20-67296669,18.5302,73.829,Private,Pune
Sancheti Hospital,"Shivaji Nagar, Pune",411005,+91-20-67296673,18.5284,73.8501,Private,Pune
Dr. Vaidya Hospital,"Sinhagad Road, Pune",411051,+91-20-61656676,18.462,73.82,Private,Pune
Krishna Hospital,"Thergaon, PCMC",411033,+91-20-61656699,18.61,73.802,Private,PCMC
Shanti Hospital,"Thergaon, PCMC",411033,+91-20-61656712,18.611,73.803,Private,PCMC
Aditya Hospital Thergaon,"Thergaon, PCMC",411033,+91-20-67296696,18.609,73.8015,Private,PCMC
Surya Mother & Child Hospital,"Wakad Road, Pune",411057,+91-20-67296667,18.5975,73.7761,Private,Pune
Phoenix Hospital,"Wakad, PCMC",411057,+91-20-61656691,18.5965,73.7765,Private,PCMC
Ayush Hospital,"Wakad, PCMC",411057,+91-20-61656702,18.597,73.778,Private,PCMC
Pioneer Hospital,"Wakad, PCMC",411057,+91-20-61656714,18.5985,73.779,Private,PCMC
Orion Hospital,"Wakad, PCMC",411057,+91-20-67296692,18.5955,73.775,Private,PCMC
Shree Hospital Wakad,"Wakad, PCMC",411057,+91-20-67296702,18.598,73.7775,Private,PCMC
Medicover Hospital Wakad,"Wakad, PCMC",411057,+91-20-67296703,18.596,73.7785,Private,PCMC
Lifepoint Multispeciality Hospital,"Wakad, Pune",411057,+91-20-67296675,18.597,73.778,Private,Pune
Omkar Hospital,"Warje Malwadi, Pune",411058,+91-20-61656684,18.486,73.808,Private,Pune
Suyash Hospital,"Warje, Pune",411058,+91-20-61656672,18.4855,73.8065,Private,Pune
Niramaya Hospital,"Warje, Pune",411058,+91-20-67296676,18.485,73.807,Private,Pune
Asha Hospital,"Yerawada, Pune",411006,+91-20-61656689,18.551,73.8775,Private,Pune
